fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2025-01-31,2024,5,FLAME,vid,FLAME,71682142,0,PASAS,PASERO,DIAZ M,,20.0,367,13180.0,5840.0,7340,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-01-31,2024,5,SULTANINA,vid,SULTANINA,71682144,0,PASAS,PASERO,MAXI D,,186.0,16.12903226,5840.0,2840.0,3000,Migración Excel · ORIGEN=TERCEROS · FINCA=MAXI D · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-01-31,2024,5,SULTANINA,vid,SULTANINA,71682146,0,PASAS,PASERO,MAXI D,,186.0,16.12903226,5840.0,2840.0,3000,Migración Excel · ORIGEN=TERCEROS · FINCA=MAXI D · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-03,2024,6,11,vid,FLAME,71682007,0,PASAS,PASERO,FINCA,,1164.0,16.0,,,18624.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-02-03,2024,6,SULTANINA,vid,SULTANINA,71682006,0,PASAS,PASERO,MAXI D,,186.0,16.77419355,5960.0,2840.0,3120.0,Migración Excel · ORIGEN=TERCEROS · FINCA=MAXI D · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-03,2024,6,SULTANINA,vid,SULTANINA,71682148,0,PASAS,PASERO,MAXI D,,186.0,16.77419355,5960.0,2840.0,3120.0,Migración Excel · ORIGEN=TERCEROS · FINCA=MAXI D · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-03,2024,6,FLAME,vid,FLAME,71682149,0,PASAS,PASERO,DIAZ M,,20.0,362,13080.0,5840.0,7240.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-04,2024,6,11,vid,FLAME,71682010,0,PASAS,PASERO,FINCA,,1349.0,16.0,,,21584,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-02-04,2024,6,FLAME,vid,FLAME,71682012,0,PASAS,PASERO,LUIS F,ZARATE D,22.0,324.0,,,7128,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-04,2024,6,FLAME,vid,FLAME,71682013,0,PASAS,PASERO,LUIS F,ZARATE D,22.0,324.0,,,7128,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
