fecha,tipo,clasificacion,monto,moneda,origen,finca,forma_pago,descripcion
2026-04-15,sueldos_personal,gerenciales,5901484.28,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · GERENCIALES
2025-05-15,impuestos_servicios,vep,500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-06-15,impuestos_servicios,vep,539428.99,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-07-15,impuestos_servicios,vep,783305.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-08-15,impuestos_servicios,vep,548000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-09-15,impuestos_servicios,vep,550753.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-10-15,impuestos_servicios,vep,551599.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-11-15,impuestos_servicios,vep,602841.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-12-15,impuestos_servicios,vep,591828.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2026-01-15,impuestos_servicios,vep,1237000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2026-02-15,impuestos_servicios,vep,1016000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2026-03-15,impuestos_servicios,vep,1011000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2026-04-15,impuestos_servicios,vep,980000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · VEP
2025-06-15,insumos_varios,insumos_otros,502098.77,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INSUMOS
2025-07-15,insumos_varios,insumos_otros,1179624.65,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INSUMOS
2025-08-15,insumos_varios,insumos_otros,1537214.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INSUMOS
2025-09-15,insumos_varios,insumos_otros,368727.7,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INSUMOS
2025-10-15,insumos_varios,insumos_otros,5601785.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INSUMOS
2026-01-15,insumos_varios,insumos_otros,200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INSUMOS
2025-09-15,produccion,fertilizantes,6000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · FERTILIZANTES
2025-10-15,produccion,fertilizantes,6000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · FERTILIZANTES
2025-11-15,produccion,fertilizantes,6000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · FERTILIZANTES
2026-03-15,produccion,fertilizantes,5000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · FERTILIZANTES
2026-04-15,produccion,fertilizantes,5000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · FERTILIZANTES
2025-09-15,produccion,agroquimicos,5000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · AGROQUIMICOS
2025-10-15,produccion,agroquimicos,5000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · AGROQUIMICOS
2025-11-15,produccion,agroquimicos,5000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · AGROQUIMICOS
2025-05-15,insumos_varios,combustibles,1500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-06-15,insumos_varios,combustibles,1500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-07-15,insumos_varios,combustibles,1500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-08-15,insumos_varios,combustibles,1500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-09-15,insumos_varios,combustibles,1500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-10-15,insumos_varios,combustibles,2500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-11-15,insumos_varios,combustibles,2500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-12-15,insumos_varios,combustibles,2500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2026-01-15,insumos_varios,combustibles,2500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2026-02-15,insumos_varios,combustibles,2500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2026-03-15,insumos_varios,combustibles,2000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2026-04-15,insumos_varios,combustibles,2000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · COMBUSTIBLES
2025-05-15,impuestos_servicios,energia_electrica,2679797.18,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-06-15,impuestos_servicios,energia_electrica,1503485.35,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-07-15,impuestos_servicios,energia_electrica,1532484.03,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-08-15,impuestos_servicios,energia_electrica,630000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-09-15,impuestos_servicios,energia_electrica,800000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-10-15,impuestos_servicios,energia_electrica,510000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-11-15,impuestos_servicios,energia_electrica,780000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-12-15,impuestos_servicios,energia_electrica,2000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2026-01-15,impuestos_servicios,energia_electrica,2200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2026-02-15,impuestos_servicios,energia_electrica,3500000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2026-03-15,impuestos_servicios,energia_electrica,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
